id|name|description|address|price|category|open_time|close_time|quota|map_url|department_id|admin_id
1|Graha ITS|Gedung yang memfasilitasi acara besar seperti wisuda, pernikahan, reuni, dan sebagainya|ITS|250000|3|8:00:00|23:00:00|250|https://goo.gl/maps/RueeZtSEAoUGgi149|1|1
2|Lab Pemrograman 1|Ruangan dengan fasilitas unggulan baik di bidang teknologi management PC dan fasilitas fisik representatif (PC, Video Audio System, Network, dll) serta dapat menampung 54 orang dengan space yang nyaman.|ITS|125000|1|10:00:00|23:00:00|100|https://goo.gl/maps/ER1m4QTFZZmwR3To8|1|1
3|Lapangan Futsal ITS|Lapangan ini  memiliki ruang terbuka, toilet, dan tempat parkir luas yang akan menjamin kenyamanan para pemain dan pendukung. lapangan ini dilengkapi dengan pencahayaan yang baik yang memungkinkan para atlet untuk berolahraga di malam hari.|ITS|75000|2|8:00:00|23:00:00|75|https://goo.gl/maps/3h3zUSCyqB2Xo7FQ6|1|1
4|Lapangan Basket ITS|Lapangan ini  memiliki ruang terbuka, toilet, dan tempat parkir luas yang akan menjamin kenyamanan para pemain dan pendukung. lapangan ini dilengkapi dengan pencahayaan yang baik yang memungkinkan para atlet untuk berolahraga di malam hari.|ITS|80000|2|8:00:00|23:00:00|75|https://goo.gl/maps/7rZiLYLTv4hi7H7W6|1|1
5|Lapangan Tennis ITS|Lapangan ini memiliki dua buah lapangan tenis. Kantin, toilet, dan tempat parkir yang luas memudahkan olahraga yang nyaman bagi pengguna. Bola anak laki-laki akan siap membantu mengambil bola selama pertandingan. Sistem pencahayaan yang baik memungkinkan para atlet melakukan latihan pada malam hari.|ITS|90000|2|8:00:00|23:00:00|50|https://goo.gl/maps/LQCzQFyi45vcQGHv7|1|1
6|Ruang Rapat Rektorat|Ruang rapat yang nyaman dan dilengkapi dengan proyektor, bangku melingkar, akses internet, dan fasilitas rapat lainnya ini ditujukan untuk pihak internal dan terbatas untuk eksternal|ITS|50000|3|8:00:00|23:00:00|20|https://goo.gl/maps/5iV1WHuQkE9tdktFA|1|1
7|Lapangan Badminton ITS|Lapangan ini merupakan lapangan indoor dan telah disediakan net, garis lapangan, raket, kok, dan lain-lain untuk menunjang permainan|ITS|20000|2|8:00:00|23:00:00|50|https://goo.gl/maps/BiXMHQCdxRmEf1LR7|1|1
8|Ruang Rapat Mahasiswa SCC ITS|Ruang rapat yang bisa menampung banyak orang dan cocok untuk kegiatan kemahasiswaan ITS|ITS|10000|3|8:00:00|23:00:00|100|https://goo.gl/maps/2kLdWhyfYDKR2ngE8|1|1
9|Ruang Rapat Bibliotek ITS|Ruang rapat utama perpustakaan dengan desain meja melingkar. Dilengkapi sarana seperti,  AC, dispenser, mikrofon dan LCD proyektor sebagai media komunikasi rapat dan penyampaian materi|ITS|50000|3|8:00:00|23:00:00|20|https://goo.gl/maps/Q6CsV7CUAwnLiDV69|1|1
10|Lab Rekayasa Hidro Informatika Kelautan|Peralatan utama laboratorium komputasi ini adalah berupa personal komputer intel Core i3, intel Core i5. Komputer server  HP proliant Server ML150 GB sera NAS bufallo dengan jumlah yang memadai dan terhubung dengan LAN|ITS|100000|1|10:00:00|23:00:00|50|https://goo.gl/maps/gF4CzS7vSTXgQ6qf7|1|1
11|Lab Aktuaria ITS|Hingga saat ini Departemen Aktuaria ITS telah menyediakan fasilitas pendidikan yang memadai terkait pengajar, fasilitas di dalam gedung, dan relasi yang ditawarkan. Kami memiliki laboratorium yang biasa dimanfaatkan oleh mahasiswa untuk belajar, praktikum dll. Di dalam laboratorium terdapat sekitar 40 komputer dan berbagai macam sarana penunjang seperi AC, LCD projector dan internet|ITS|125000|1|8:00:00|23:00:00|40|https://goo.gl/maps/D3K6kGaHKMMWa7LK9|1|1
12|Lab ESME ITS|Entrepreneurship and Small Medium Enterprise Development Laboratory atau Laboratorium Kewirausahaan dan Pengembangan, disebut juga ESME Laboratory, merupakan salah satu laboratorium di Departemen Manajemen Bisnis. Laboratorium ESME berfokus pada penelitian serta pengajaran topik manajemen pemasaran, manajemen sumber daya manusia, kewirausahaan, pengukuran kinerja, dan data envelopment analysis|ITS|150000|1|8:00:00|23:00:00|100|https://g.page/MB-ITS?share|1|1
